label,msg
ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
ham,"Result:(shape of you)
1. Shape Of You
2. I Want Your Love Shape Of You
3. Our First Date Shape Of You
Please reply to this SMS with the option number of your choice.
Your JioTune is free of charge & is valid for 30 days.
To search for more songs, reply to this SMS with MORE."
ham,"Dear Customer,
We have taken your request to update DND (Do Not Disturb) preferences for Jio Number 8919750261. Unique Registration Number for the request is CO000010GR93. Kindly allow 7 days for the change to be effective. To manage your account with MyJio app, click https://www.jio.com/GetMyJio
Thank you,
Team Jio"
ham,BHIM makes money transfer as easy as sending a text message. Start using BHIM from today and be cashfree. Click here bit.ly/2ujQmwe
spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
spam,"Your plan for Jio no.8919466484 will expire on 27-01-2018. To avoid STOPPAGE of services, recharge IMMEDIATELY with Rs.399 plan (1GB/day for 84 days) today and get more than 100% cashback upto Rs.700. Click http://jio.com/r/W8r1Kpru to recharge. T&C apply"
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
spam,Good news to share. Deloitte has recruited 13 IMI Kolkata students this year for Final Placement.
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
spam,Wishing that Lord Ganesha fills your home with prosperity and fortune. For Ganesh Chaturthi CallerTune dial 573731 tollfree
spam,"@FoxNews: Amir @Fakhravar on protesters in Iran: ""They love President #Trump. They will love him more if he can do something to make sure we will have intern..."
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
ham,You've received Rs.1 cashback from PhonePe into your wallet for Up to Rs. 51 Cashback on recharge for any 3 mobile numbers. Current wallet balance is Rs.12
ham,"Recharge Done Rs 10.00; PF Rs 1.00; GST Rs 1.53; Talktime Rs 7.47
Balance: Talktime Rs 8.90"
ham,"Dear TaskBucks user,
Get upto Rs213 PayTm cash today, 23 new tasks added.
Open app TaskBucks.co"
ham,"SBI Quick. Get your A/c Balance, Mini Stmt and more with just an SMS or Missed Call! To register, SMS 'REG<space>Account Number' to 09223488888. Team SBI."
ham,L
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
spam,"Interview address
YES BANK
Inviting For Interview
Position: Front Desk Executive
Salary: 12500 to 24700
Sanjana: 9867310066/8108546614"
spam,This message is brought to you by GMW Ltd. and is not connected to the
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
ham,"Delivered: Order 7556811301. More info at www.shop101.com/orders.
For any queries, contact WatchJunction, Cl... on 8401234575."
ham,Expect DELIVERY by 07 Feb for your Jabong order ending with 64189. We will deliver your order in shortest possible time. Next SMS/Email on dispatch! Click http://jbo.ng/Wg65k7h to track your order.
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
spam,🎁 Santa decided to give you your Christmas gift early this year! C
spam,Enter ur NMAT scores on https://goo.gl/6PyX1J & share ur IMSPIN & NMAT scorecard(with percentile) at score@imsindia.com to grab ur copy of GDWATPI SuccessGuide.
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
spam,SBI-Visit https://goo.gl/HMsM9q & search Patanjali in Product Name. Pay with 2648 pts worth Rs 662 in your State Bank Rewardz A/c.T&C
ham,Waiting for your call.
spam,Filthy stories and GIRLS waiting for your
spam,"Dear Customer, Congratulations on upgrading to 4G Handset. Dial *121# to know the handset upgrade special benefits. Please continue using 4G Handset to avail 4G"
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"""
ham,"Dear Candidate,Your Interview is Fixed For Today(9:30am-5:00Pm) in Snapdeal Backend/Non Voice/Tech Support/Accounts/Marketing Process,Fixed Sal:13k-28k+Incentives+Meal. Venue:Office No:603,6th Floor,Ganesh Tower,Dada Patil Wadi Road (Thane West Station),Near platform no:1 Call:Simran-9650061432 Ref:KDS"
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!"
spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
ham,"Your IIFT Test Pack CTs 101 - 105 (Q.B.+E.A.) is delivered with signature on 30-10-2017. For any queries call 022-66680005 (extn:216,221) or write to ims@imsindia.com"
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
spam,"Dear Mr/Ms VUTNOORI ARUN KUMAR,

Your CAT 2017 test center is iON Digitial Zone iDZ 2, Patliputra, Patna. You need to report at the test center on 26th November, by the stipulated time mentioned on your admit card. Take a print out of your Admit Card and go through the instructions given in it carefully. Please check your mail for details

Regards,
CAT 2017"
spam,"HI! Insert Vodafone SIM in Slot 1 to enjoy Fast Internet Speed.Data usage without data pack will be charged@Standard Rates.To Save, buy a data pack.Dial*111#"
spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
ham,Midnight at the earliest
ham,You've received Rs.30 cashback from PhonePe into your wallet for Upto Rs. 90 Cashback on recharge for any 3 mobile numbers. Current wallet balance is Rs.36
ham,Thank you. do you generally date the brothas?
spam,"Dear Customer, Your Tatkal Credit Request cannot be processed as you have availed an unlimited pack"
ham,Your points can take you places! Book flight tickets with 2595pts worth Rs648 in your State Bank Rewardz A/c. T&C. Book now: https://goo.gl/nANfps
spam,"Dear Customer,
Jio Happy New Year Offer provides you unlimited national Voice & Video calling with 1GB High speed data/day. Post 1GB, your internet speed will be reduced to 128kbps for the rest of the day. Click http://www.jio.com/getmyjio to download MyJio app and check you real time data balance, usage details and recharge. 
Team Jio."
spam,NMAT by GMAC 2017 test registration starts today. Check detailed notification on goo.gl/k9D1Ba and register before 3rd October to avoid late fee payment.
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
